datetime	t 	rh 	u 	p 	Qsi 	T_g
20101006T030000	5.489	46.938	1.559	0.0112	6.142	4.995
20101006T040000	5.606	46.010	1.638	0.0107	6.142	4.869
20101006T050000	5.368	47.328	1.725	0.0040	6.142	4.748
20101006T060000	5.583	45.833	1.721	0.0000	6.142	4.633
20101006T070000	4.571	51.545	1.315	0.0000	6.142	4.566
20101006T080000	3.462	59.243	1.235	0.0023	6.644	4.418
20101006T090000	7.517	46.443	0.297	0.1005	34.809	4.094
20101006T100000	10.508	37.530	0.830	0.0000	274.651	4.225
20101006T110000	12.445	34.280	1.127	0.0000	476.001	4.547
20101006T120000	13.548	36.003	1.057	0.0000	607.087	5.053
20101006T130000	15.090	35.188	0.850	0.0000	701.375	5.730
20101006T140000	16.783	30.320	1.261	0.0000	737.031	6.403
20101006T150000	16.875	29.048	1.717	0.0000	636.372	6.746
20101006T160000	17.470	28.688	1.531	0.0040	553.619	6.927
20101006T170000	18.040	28.343	1.066	0.0000	265.882	7.121
20101006T180000	13.513	45.748	0.837	0.0758	27.082	7.372
20101006T190000	10.443	55.305	1.006	0.0134	15.257	7.111
20101006T200000	9.608	56.463	0.846	0.0000	6.142	6.769
20101006T210000	8.595	58.810	1.018	0.0000	6.142	6.467
20101006T220000	8.143	58.525	1.193	0.0000	6.142	6.191
20101006T230000	8.369	56.925	1.265	0.0190	6.142	5.926
20101007T000000	8.041	56.095	0.903	0.0250	6.142	5.729
20101007T010000	8.299	55.413	1.225	0.0000	6.142	5.512
20101007T020000	6.931	58.210	1.009	0.0055	6.142	5.378
20101007T030000	6.439	60.383	1.106	0.0043	6.142	5.182
20101007T040000	5.954	62.163	1.085	0.0032	6.142	4.994
20101007T050000	5.760	62.315	0.988	0.0135	6.142	4.807
20101007T060000	5.677	63.190	1.065	0.0000	6.142	4.646
20101007T070000	5.391	63.808	1.128	0.0075	6.142	4.521
20101007T080000	5.395	62.260	0.910	0.0000	6.158	4.404
20101007T090000	9.261	51.923	0.612	0.0959	27.644	4.126
20101007T100000	12.373	44.078	0.516	0.0000	247.933	4.267
20101007T110000	13.650	44.235	0.706	0.0000	462.500	4.630
20101007T120000	14.758	42.445	0.837	0.0000	596.216	5.212
20101007T130000	15.660	38.058	1.033	0.0000	681.725	5.947
20101007T140000	17.003	27.683	1.022	0.0000	714.497	6.592
20101007T150000	17.743	27.453	1.159	0.0011	591.683	6.937
20101007T160000	17.565	30.453	2.150	0.0163	380.793	7.262
20101007T170000	15.225	37.563	1.373	0.0000	154.374	7.602
20101007T180000	13.765	40.660	1.089	0.0337	82.061	7.629
20101007T190000	12.890	42.678	1.835	0.0167	42.656	7.467
20101007T200000	11.205	48.365	1.118	0.0302	6.502	7.250
20101007T210000	10.168	52.288	0.903	0.0238	6.142	6.875
20101007T220000	9.073	50.665	0.956	0.0167	6.142	6.562
20101007T230000	7.880	50.443	0.934	0.0226	6.142	6.226
20101008T000000	8.530	48.463	1.092	0.0011	6.142	5.918
20101008T010000	8.451	50.380	0.905	0.0056	6.142	5.665
20101008T020000	8.770	50.810	1.011	0.0000	6.142	5.472
20101008T030000	7.872	56.310	0.830	0.0000	6.142	5.370
20101008T040000	8.037	57.055	0.698	0.0186	6.142	5.295
20101008T050000	8.638	54.525	1.035	0.0226	6.142	5.196
20101008T060000	9.535	50.925	1.380	0.0031	6.142	5.128
20101008T070000	9.418	50.475	1.616	0.0000	6.142	5.106
20101008T080000	9.600	48.715	1.667	0.0059	6.581	5.051
20101008T090000	10.150	49.533	1.674	0.0095	32.701	4.953
20101008T100000	11.370	47.753	1.419	0.0000	216.652	5.067
20101008T110000	12.128	50.370	1.496	0.0059	451.154	5.268
20101008T120000	12.895	47.325	1.321	0.0000	493.560	5.708
20101008T130000	11.413	49.553	1.536	0.0000	535.522	6.277
20101008T140000	11.820	48.785	0.856	0.0000	647.338	6.408
20101008T150000	13.053	44.653	0.979	0.0262	468.870	6.665
20101008T160000	12.695	46.030	0.805	0.0127	321.875	7.232
20101008T170000	12.098	50.895	0.608	0.0088	212.975	7.569
20101008T180000	11.278	55.090	0.478	0.0000	125.631	7.686
20101008T190000	8.668	64.635	0.724	0.0436	27.461	7.582
20101008T200000	6.924	69.293	0.590	0.0206	6.142	7.195
20101008T210000	6.106	69.450	0.579	0.0115	6.142	6.755
20101008T220000	5.378	72.118	0.665	0.0000	6.142	6.350
20101008T230000	5.679	70.653	0.835	0.0000	6.142	5.997
20101009T000000	5.215	73.973	0.912	0.0389	6.142	5.737
20101009T010000	5.763	72.853	0.760	0.0000	6.142	5.496
20101009T020000	6.258	67.385	0.938	0.0297	6.142	5.284
20101009T030000	5.746	69.873	1.049	0.0000	6.142	5.133
20101009T040000	7.561	60.538	1.456	0.0000	6.142	4.943
20101009T050000	6.132	64.485	0.861	0.0055	6.142	4.931
20101009T060000	5.014	70.015	0.989	0.0000	6.142	4.791
20101009T070000	5.259	67.365	0.888	0.0221	6.142	4.650
20101009T080000	6.194	62.175	1.476	0.0000	8.259	4.571
20101009T090000	7.260	59.925	1.309	0.0000	28.204	4.584
20101009T100000	7.223	60.725	0.929	0.0000	29.881	4.733
20101009T110000	8.003	56.988	1.567	0.0364	80.660	4.816
20101009T120000	9.225	54.848	1.103	0.0000	227.871	4.963
20101009T130000	12.190	45.048	1.516	0.0000	694.910	5.272
20101009T140000	12.470	43.800	1.505	0.1325	662.614	5.915
20101009T150000	12.343	42.640	1.318	0.0591	497.775	6.259
20101009T160000	12.063	44.940	1.321	0.0000	439.047	6.455
20101009T170000	10.243	52.760	0.872	0.0000	188.222	6.656
20101009T180000	9.243	58.163	0.660	0.0131	121.574	6.673
20101009T190000	7.049	68.270	0.647	0.0120	32.443	6.623
20101009T200000	7.523	63.555	1.431	0.0000	6.142	6.287
20101009T210000	7.979	62.548	1.011	0.0000	6.142	6.087
20101009T220000	8.500	62.670	1.139	0.0059	6.142	5.938
20101009T230000	8.825	63.338	1.885	0.0000	6.142	5.900
20101010T000000	8.935	62.958	3.455	0.0000	6.142	5.826
20101010T010000	8.795	64.853	2.574	0.0000	6.142	5.778
20101010T020000	9.063	64.458	2.559	0.0079	6.142	5.752
20101010T030000	9.173	65.428	1.957	0.0000	6.142	5.729
20101010T040000	9.495	65.975	2.213	0.0000	6.142	5.698
20101010T050000	9.690	65.218	2.078	0.0000	6.142	5.765
20101010T060000	11.418	56.255	2.271	0.0000	6.142	5.763
20101010T070000	12.018	55.098	2.926	0.0000	6.142	5.792
20101010T080000	11.228	60.008	2.189	0.0000	6.142	5.842
20101010T090000	11.305	59.958	2.299	0.0000	17.201	5.828
20101010T100000	11.135	62.285	2.747	0.0047	53.343	5.893
20101010T110000	11.673	60.310	3.319	0.0401	118.658	6.066
20101010T120000	12.135	58.015	3.603	0.0000	167.178	6.348
20101010T130000	13.158	54.090	3.661	0.0000	334.457	6.600
20101010T140000	14.785	48.293	3.520	0.0000	572.192	7.009
20101010T150000	14.723	49.290	3.075	0.0944	376.863	7.630
20101010T160000	12.748	58.230	2.499	0.0421	208.665	8.150
20101010T170000	10.133	77.048	2.057	0.6800	111.910	8.298
20101010T180000	6.916	90.725	1.786	2.9599	64.684	8.094
20101010T190000	6.448	85.675	0.986	0.1223	38.336	7.865
20101010T200000	6.663	71.588	1.267	0.0470	6.142	7.581
20101010T210000	6.513	71.515	1.242	0.0000	6.142	7.253
20101010T220000	5.784	79.655	1.151	0.0207	6.142	6.928
20101010T230000	5.242	83.425	1.026	0.1747	6.142	6.710
20101011T000000	4.070	85.275	0.783	0.5390	6.142	6.553
20101011T010000	2.765	93.525	0.446	0.0283	6.142	6.355
20101011T020000	2.306	94.650	0.274	0.0000	6.142	6.191
20101011T030000	1.285	96.500	0.606	0.0080	6.142	6.007
20101011T040000	0.491	97.400	0.780	0.0072	6.142	5.691
20101011T050000	1.180	89.300	0.984	0.0124	6.142	5.402
20101011T060000	0.670	85.375	0.988	0.0000	6.142	5.210
20101011T070000	0.681	79.070	1.038	0.0814	6.142	5.001
20101011T080000	0.428	75.433	0.940	0.0579	6.142	4.868
20101011T090000	0.050	73.665	0.924	0.0000	39.483	4.685
20101011T100000	1.244	65.258	1.241	0.1026	203.771	4.432
20101011T110000	2.284	59.615	1.535	0.0264	307.201	4.499
20101011T120000	2.641	54.770	1.622	0.0000	410.269	4.658
20101011T130000	3.685	46.565	1.435	0.0000	526.173	4.769
20101011T140000	5.113	33.720	1.238	0.0000	616.214	4.899
20101011T150000	5.637	28.998	1.451	0.0155	614.852	5.029
20101011T160000	4.640	28.313	1.509	0.0000	491.341	5.227
20101011T170000	4.036	27.750	0.876	0.0000	203.664	5.029
20101011T180000	3.018	30.395	1.280	0.0602	29.833	4.895
20101011T190000	1.722	34.633	1.382	0.0000	16.516	4.592
20101011T200000	1.869	32.798	1.822	0.0000	6.142	4.249
20101011T210000	1.024	38.975	1.552	0.0000	6.142	3.987
20101011T220000	1.559	38.640	2.301	0.0000	6.142	3.704
20101011T230000	1.290	42.263	2.887	0.0000	6.142	3.507
20101012T000000	0.785	48.588	2.949	0.0000	6.142	3.330
20101012T010000	-0.022	60.915	2.718	0.0008	6.142	3.176
20101012T020000	-0.379	66.045	1.275	0.0443	6.142	3.065
20101012T030000	-0.460	69.610	1.660	0.0028	6.142	2.957
20101012T040000	1.093	51.850	1.712	0.0052	6.142	2.873
20101012T050000	1.573	47.500	1.829	0.0000	6.142	2.816
20101012T060000	1.805	45.885	1.402	0.0000	6.142	2.750
20101012T070000	1.832	46.450	1.160	0.0000	6.142	2.699
20101012T080000	1.844	46.623	1.370	0.0016	6.173	2.643
20101012T090000	1.178	53.363	0.768	0.0112	24.398	2.610
20101012T100000	2.139	49.375	0.999	0.0312	82.375	2.529
20101012T110000	2.986	48.663	0.819	0.0000	188.159	2.531
20101012T120000	3.639	48.465	0.793	0.0152	237.253	2.772
20101012T130000	4.011	47.468	1.309	0.0000	299.246	3.185
20101012T140000	3.954	48.240	1.411	0.0219	262.861	3.525
20101012T150000	4.180	47.810	1.441	0.0000	258.583	3.773
20101012T160000	4.519	46.525	1.101	0.0000	424.499	3.999
20101012T170000	5.223	44.290	1.238	0.0000	269.060	4.222
20101012T180000	3.631	49.003	1.339	0.0064	43.775	4.439
20101012T190000	3.278	49.075	1.154	0.0000	24.679	4.092
20101012T200000	3.465	46.668	1.216	0.0093	6.142	3.802
20101012T210000	3.038	50.883	1.004	0.0000	6.142	3.578
20101012T220000	3.343	50.115	0.915	0.0000	6.142	3.377
20101012T230000	3.272	52.418	0.815	0.0048	6.142	3.230
